Date and Time: 2026-02-09 11:08:30
Approximate Polling Time: 50 ms
Comments: No comments provided
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
0.0,6.996,3.524,33.87576,33.71957,33.69839,33.69824,33.73792,33.83368,34.03662,34.05713
0.07726001739501953,6.998,3.529,33.89716,33.7312,33.70355,33.70026,33.73737,33.83176,34.03427,34.05453
0.1516261100769043,6.998,3.531,33.92911,33.74741,33.71243,33.70444,33.73761,33.82965,34.02951,34.05066
0.22658801078796387,6.996,3.531,33.95074,33.75958,33.71759,33.70645,33.7377,33.82773,34.02777,34.04886
0.3023529052734375,6.986,3.531,33.98474,33.77884,33.72614,33.7088,33.73587,33.82639,34.02658,34.04614
0.377734899520874,6.977,3.526,34.00763,33.79141,33.73346,33.71103,33.73611,33.82516,34.02454,34.04355
0.456820011138916,6.958,3.52,34.04044,33.80978,33.74356,33.71664,33.7363,33.82202,34.02005,34.04037
0.5290350914001465,6.941,3.511,34.06311,33.82315,33.75031,33.71991,33.73642,33.82025,34.01855,34.0383
0.6050100326538086,6.913,3.501,34.09857,33.84338,33.75958,33.72232,33.73703,33.82016,34.01675,34.03525
0.6804869174957275,6.89,3.488,34.12238,33.85696,33.76584,33.72641,33.737,33.81882,34.01508,34.03262
0.7577359676361084,6.853,3.474,34.1561,33.87811,33.77863,33.73184,33.73727,33.81613,34.01208,34.03183
0.8304970264434814,6.824,3.457,34.17868,33.89172,33.78641,33.73553,33.73779,33.81473,34.01019,34.02908
0.9074130058288574,6.776,3.439,34.21628,33.91299,33.79742,33.74008,33.73965,33.81485,34.00797,34.02457
0.9821240901947021,6.743,3.416,34.23914,33.92719,33.80536,33.74396,33.74039,33.81384,34.0065,34.02194
1.0589790344238281,6.686,3.395,34.27472,33.94995,33.81732,33.74988,33.74039,33.81229,34.00485,34.02063
1.1339869499206543,6.646,3.369,34.29773,33.96503,33.82657,33.75412,33.7413,33.81097,34.00351,34.01956
1.2106940746307373,6.58,3.344,34.3342,33.98645,33.83835,33.76175,33.74475,33.81055,34.0,34.01529
1.2854440212249756,6.534,3.311,34.35715,34.00177,33.84763,33.76602,33.74573,33.81042,33.99866,34.01315
1.361572027206421,6.458,3.283,34.39401,34.02542,33.86212,33.77213,33.74655,33.80966,33.99796,34.01239
1.4365921020507812,6.406,3.247,34.41769,34.04172,33.87186,33.77719,33.74792,33.80905,33.9971,34.00967
1.51283597946167,6.323,3.215,34.45258,34.06357,33.88513,33.78555,33.75119,33.80817,33.99374,34.00665
1.5877819061279297,6.265,3.176,34.47641,34.07959,33.89459,33.79095,33.75308,33.80771,33.99265,34.00494
1.6646580696105957,6.173,3.14,34.51285,34.10422,33.90887,33.79691,33.75568,33.80853,33.99213,34.00296
1.739989995956421,6.109,3.096,34.53635,34.12048,33.9191,33.80286,33.75684,33.80917,33.99188,34.00092
1.81850004196167,6.008,3.056,34.57034,34.14392,33.93506,33.81296,33.76035,33.80731,33.98871,33.99997
1.8975160121917725,5.94,3.008,34.59445,34.15988,33.94424,33.81845,33.76291,33.80698,33.98782,33.9989
1.9668500423431396,5.832,2.966,34.63074,34.1846,33.95911,33.82587,33.76636,33.80914,33.98761,33.99533
2.0422849655151367,5.756,2.913,34.65326,34.20062,33.97018,33.83267,33.76913,33.80954,33.98679,33.99341
2.119148015975952,5.64,2.866,34.68677,34.22525,33.98712,33.84259,33.77243,33.80838,33.9852,33.99316
2.1944050788879395,5.56,2.81,34.70923,34.2417,33.99786,33.84888,33.77475,33.80908,33.98502,33.9921
2.270369052886963,5.436,2.761,34.74451,34.26593,34.01239,33.8577,33.77985,33.81082,33.98376,33.9884
2.345841884613037,5.352,2.701,34.767,34.28235,34.02298,33.86481,33.78302,33.81158,33.98331,33.98645
2.422585964202881,5.221,2.647,34.79883,34.30759,34.04123,33.87482,33.78619,33.81161,33.9834,33.98718
2.4973371028900146,5.131,2.585,34.82065,34.32416,34.05212,33.88144,33.78952,33.81284,33.9834,33.98691
2.5730838775634766,4.992,2.527,34.85364,34.34799,34.06848,33.89206,33.79559,33.81415,33.98126,33.98236
2.6478309631347656,4.9,2.461,34.87494,34.36407,34.07993,33.89926,33.79895,33.81509,33.9812,33.98248
2.7245750427246094,4.754,2.401,34.90625,34.38986,34.0972,33.9093,33.80292,33.81653,33.9827,33.98248
2.8003149032592773,4.655,2.327,34.92685,34.4064,34.10901,33.91708,33.80661,33.81754,33.98267,33.9819
2.876965045928955,4.504,2.265,34.95682,34.42914,34.12531,33.92889,33.81326,33.81979,33.98093,33.97931
2.950977087020874,4.402,2.191,34.97659,34.4454,34.13733,33.93686,33.81735,33.82098,33.98096,33.97839
3.0273098945617676,4.244,2.125,35.00742,34.47037,34.15469,33.94669,33.82211,33.82349,33.98325,33.97864
3.1022510528564453,4.136,2.047,35.02625,34.48648,34.16635,33.95361,33.82617,33.82565,33.98355,33.97769
3.1788880825042725,3.974,1.978,35.05289,34.50955,34.18463,33.96747,33.83282,33.82684,33.98251,33.97778
3.2555959224700928,3.863,1.898,35.07178,34.52536,34.19656,33.97464,33.83661,33.82819,33.98285,33.97668
3.3385939598083496,3.695,1.826,35.10028,34.54929,34.21307,33.98511,33.84335,33.83243,33.98459,33.97501
3.405822992324829,3.582,1.744,35.11722,34.5643,34.22424,33.99323,33.84769,33.83459,33.98505,33.97488
3.481278896331787,3.408,1.67,35.14175,34.58731,34.2435,34.00647,33.85413,33.8356,33.9856,33.97635
3.557070016860962,3.29,1.584,35.15836,34.60242,34.25504,34.01431,33.85849,33.83789,33.98636,33.97617
3.6338300704956055,3.113,1.506,35.18317,34.62442,34.27148,34.02579,33.86618,33.84268,33.98773,33.97421
3.708306074142456,2.994,1.417,35.19928,34.63922,34.28281,34.03384,33.87088,33.84454,33.98831,33.97449
3.7838919162750244,2.812,1.338,35.22131,34.66214,34.30182,34.04623,33.87692,33.84625,33.99005,33.97684
3.85915207862854,2.688,1.248,35.23621,34.67603,34.31296,34.0545,33.88217,33.84961,33.99115,33.97632
3.935708999633789,2.502,1.168,35.25711,34.69598,34.32883,34.06714,33.89053,33.85394,33.9921,33.97516
4.0118629932403564,2.378,1.076,35.27118,34.70959,34.34006,34.07504,33.89587,33.85587,33.99319,33.97476
4.08701491355896,2.19,0.993,35.29095,34.73166,34.35855,34.08728,33.90204,33.85995,33.99655,33.97729
4.161477088928223,2.062,0.899,35.30286,34.74496,34.36984,34.09543,33.90735,33.86258,33.99789,33.97766
4.239128112792969,1.87,0.815,35.32071,34.76364,34.38684,34.10916,33.91599,33.86713,33.9986,33.9762
4.31473708152771,1.742,0.72,35.33252,34.77664,34.39703,34.11768,33.9216,33.86984,33.99994,33.97693
4.389487028121948,1.548,0.636,35.34918,34.79614,34.41327,34.12817,33.92874,33.87485,34.00369,33.97943
4.464268922805786,1.417,0.539,35.35934,34.8085,34.42407,34.13635,33.93393,33.87729,34.00528,33.97971
4.540950059890747,1.22,0.453,35.37302,34.8259,34.44217,34.15082,33.94296,33.8815,34.00647,33.98035
4.615626096725464,1.088,0.356,35.38208,34.83694,34.45236,34.15897,33.94821,33.88464,34.00864,33.98221
4.6928510665893555,0.89,0.274,35.39575,34.85471,34.46719,34.16989,33.95596,33.89041,34.01212,33.98196
4.7686638832092285,0.758,0.2,35.40433,34.86563,34.47812,34.17807,33.96191,33.89377,34.01382,33.98315
4.844783067703247,0.559,0.149,35.41391,34.88214,34.4942,34.19113,33.96967,33.89685,34.0163,33.98648
4.918766975402832,0.426,0.109,35.42084,34.89264,34.50476,34.19931,33.97519,33.90024,34.01831,33.98758
4.996012926101685,0.226,0.08,35.43088,34.90759,34.5188,34.21094,33.98441,33.9071,34.02164,33.98773
5.071728944778442,0.094,0.056,35.4361,34.91678,34.52792,34.21878,33.9902,33.91129,34.0239,33.98877
5.150073051452637,-0.104,-0.043,35.44266,34.93127,34.54279,34.23105,33.9978,33.91504,34.02835,33.99359
5.222311019897461,-0.239,-0.062,35.44678,34.94034,34.55338,34.2395,34.00369,33.91922,34.03052,33.99454
5.298042058944702,-0.439,-0.096,35.45358,34.95285,34.56607,34.25095,34.01337,33.92505,34.03278,33.99469
5.374846935272217,-0.57,-0.166,35.4566,34.96078,34.57462,34.25803,34.01913,33.92896,34.03586,33.99649
5.463727951049805,-0.769,-0.234,35.46069,34.97424,34.5899,34.26944,34.02603,33.93393,34.04077,34.00085
5.526561975479126,-0.902,-0.324,35.46231,34.98114,34.59738,34.27673,34.03192,33.93829,34.04337,34.00143
5.601269960403442,-1.1,-0.405,35.46445,34.99094,34.61014,34.29004,34.0423,33.94403,34.04572,34.00339
5.676959991455078,-1.234,-0.501,35.46606,34.99805,34.61835,34.29681,34.04739,33.94699,34.04871,34.00565
5.75291109085083,-1.428,-0.585,35.46786,35.00861,34.62994,34.3064,34.05551,33.95419,34.05414,34.00894
5.829543113708496,-1.559,-0.682,35.46841,35.01474,34.63785,34.31396,34.06134,33.95816,34.0574,34.01013
5.915067911148071,-1.753,-0.766,35.46576,35.02234,34.65045,34.3259,34.07001,33.96341,34.06003,34.01373
5.9789440631866455,-1.883,-0.864,35.46625,35.02817,34.65765,34.33289,34.07581,33.96756,34.06339,34.01584
6.055650949478149,-2.075,-0.949,35.46552,35.03659,34.66876,34.34229,34.08365,33.9751,34.06848,34.01874
6.13277006149292,-2.2,-1.045,35.46454,35.04068,34.67508,34.3486,34.08954,33.9794,34.07162,34.02014
6.206911087036133,-2.389,-1.13,35.46008,35.04755,34.68604,34.35983,34.09811,33.98361,34.07565,34.02554
6.281652927398682,-2.515,-1.225,35.45749,35.05161,34.69281,34.36655,34.10352,33.98755,34.07889,34.02777
6.358660936355591,-2.7,-1.308,35.45465,35.05722,34.70111,34.3754,34.1127,33.99527,34.08344,34.02966
6.432941913604736,-2.821,-1.4,35.45163,35.06049,34.7066,34.38208,34.1181,33.99939,34.08728,34.03287
6.511022090911865,-3.004,-1.484,35.44489,35.06561,34.71762,34.39102,34.12521,34.00537,34.09213,34.03873
6.583910942077637,-3.125,-1.576,35.44086,35.06848,34.72318,34.39706,34.13034,34.00955,34.09558,34.04095
6.660780906677246,-3.302,-1.655,35.43405,35.0712,34.72974,34.40668,34.14017,34.01651,34.10037,34.04211
6.735752105712891,-3.418,-1.743,35.42902,35.07361,34.73535,34.41214,34.1452,34.02054,34.10336,34.04422
6.8134729862213135,-3.592,-1.821,35.41989,35.07709,34.74289,34.41974,34.15207,34.02673,34.10968,34.05109
