frequency,V0_amp,V1_amp,V2_amp,V3_amp,V4_amp,V5_amp,V6_amp,V7_amp,V8_amp,V9_amp,V10_amp,V11_amp,V12_amp,V13_amp,V14_amp,V15_amp,V16_amp,V17_amp,V18_amp,V19_amp,V20_amp,V21_amp,V22_amp,V23_amp,V24_amp,V25_amp,V26_amp,V27_amp,V28_amp,V29_amp,V30_amp,V31_amp,V32_amp,V33_amp,V34_amp,V35_amp,V36_amp,V37_amp,V38_amp,V39_amp,V40_amp
2.000000e+01,1.245749e+00,1.251079e+00,1.257942e+00,1.256618e+00,1.259301e+00,1.269524e+00,1.312591e+00,1.373683e+00,1.548350e+00,1.891677e+00,2.571808e+00,2.082059e+00,1.428929e+00,1.315335e+00,1.264672e+00,1.250367e+00,1.246414e+00,1.244958e+00,1.245407e+00,1.245114e+00,1.243718e+00,1.243494e+00,1.243193e+00,1.243015e+00,1.242991e+00,1.242989e+00,1.242985e+00,1.242982e+00,1.242981e+00,1.242980e+00,1.242978e+00,1.242979e+00,1.242979e+00,1.242980e+00,1.242980e+00,1.242978e+00,1.242978e+00,1.242977e+00,1.242977e+00,1.242977e+00,1.242977e+00
1.464946e+03,1.248356e+00,1.249223e+00,1.249269e+00,1.249319e+00,1.249999e+00,1.250650e+00,1.251911e+00,1.251876e+00,1.254494e+00,1.258941e+00,1.266040e+00,1.259765e+00,1.251340e+00,1.249487e+00,1.248784e+00,1.248839e+00,1.248839e+00,1.248014e+00,1.247661e+00,1.247667e+00,1.246972e+00,1.247084e+00,1.247031e+00,1.246559e+00,1.246605e+00,1.246645e+00,1.246568e+00,1.246615e+00,1.246441e+00,1.246386e+00,1.246084e+00,1.245767e+00,1.245367e+00,1.244601e+00,1.244312e+00,1.243800e+00,1.243352e+00,1.243052e+00,1.242996e+00,1.242972e+00,1.243001e+00
2.909892e+03,1.239963e+00,1.243208e+00,1.244829e+00,1.246079e+00,1.248907e+00,1.251417e+00,1.255864e+00,1.257283e+00,1.258812e+00,1.265511e+00,1.277472e+00,1.269593e+00,1.257369e+00,1.254517e+00,1.254708e+00,1.255877e+00,1.255830e+00,1.254977e+00,1.254965e+00,1.254866e+00,1.253674e+00,1.254148e+00,1.253474e+00,1.253649e+00,1.254683e+00,1.254688e+00,1.255434e+00,1.255660e+00,1.255130e+00,1.255232e+00,1.254156e+00,1.253106e+00,1.251532e+00,1.248922e+00,1.247508e+00,1.245644e+00,1.244087e+00,1.242842e+00,1.242608e+00,1.242575e+00,1.242663e+00
4.354838e+03,1.213572e+00,1.219848e+00,1.222078e+00,1.224373e+00,1.229148e+00,1.232226e+00,1.236998e+00,1.241669e+00,1.246853e+00,1.252592e+00,1.272643e+00,1.259996e+00,1.246713e+00,1.244201e+00,1.244860e+00,1.247565e+00,1.249251e+00,1.249938e+00,1.251271e+00,1.253019e+00,1.252518e+00,1.255032e+00,1.256269e+00,1.258216e+00,1.261803e+00,1.263895e+00,1.265988e+00,1.267494e+00,1.268434e+00,1.268027e+00,1.266487e+00,1.264562e+00,1.261567e+00,1.256166e+00,1.253297e+00,1.248927e+00,1.245587e+00,1.242854e+00,1.242174e+00,1.242197e+00,1.242414e+00
5.799784e+03,1.223135e+00,1.225464e+00,1.228864e+00,1.227782e+00,1.232327e+00,1.233297e+00,1.237887e+00,1.237238e+00,1.234951e+00,1.243653e+00,1.249702e+00,1.245255e+00,1.227165e+00,1.223704e+00,1.222725e+00,1.225339e+00,1.225655e+00,1.227985e+00,1.231686e+00,1.233375e+00,1.237041e+00,1.241517e+00,1.244116e+00,1.252612e+00,1.261933e+00,1.267269e+00,1.274277e+00,1.279344e+00,1.282785e+00,1.285032e+00,1.283006e+00,1.280603e+00,1.275401e+00,1.266971e+00,1.261910e+00,1.254441e+00,1.248625e+00,1.243820e+00,1.242787e+00,1.242322e+00,1.243113e+00
7.244730e+03,1.245950e+00,1.258533e+00,1.264125e+00,1.267931e+00,1.270565e+00,1.278013e+00,1.283604e+00,1.283610e+00,1.278758e+00,1.276119e+00,1.284481e+00,1.266080e+00,1.236140e+00,1.221726e+00,1.208865e+00,1.204943e+00,1.202622e+00,1.198852e+00,1.199327e+00,1.201061e+00,1.202124e+00,1.208344e+00,1.215763e+00,1.228148e+00,1.247715e+00,1.259925e+00,1.273695e+00,1.286202e+00,1.294457e+00,1.299040e+00,1.299033e+00,1.296512e+00,1.289654e+00,1.278651e+00,1.270279e+00,1.259742e+00,1.251629e+00,1.244048e+00,1.242232e+00,1.242133e+00,1.242814e+00
8.689676e+03,1.176843e+00,1.211487e+00,1.231823e+00,1.253839e+00,1.276368e+00,1.302167e+00,1.322502e+00,1.334590e+00,1.339900e+00,1.342861e+00,1.358750e+00,1.334567e+00,1.293596e+00,1.272905e+00,1.243608e+00,1.223772e+00,1.205340e+00,1.185957e+00,1.173815e+00,1.168070e+00,1.158974e+00,1.161915e+00,1.165368e+00,1.185118e+00,1.212828e+00,1.231699e+00,1.255216e+00,1.276644e+00,1.294468e+00,1.305788e+00,1.309572e+00,1.308134e+00,1.301321e+00,1.286024e+00,1.276174e+00,1.260916e+00,1.249247e+00,1.239110e+00,1.236333e+00,1.236136e+00,1.236963e+00
1.013462e+04,1.050414e+00,1.071913e+00,1.094401e+00,1.128644e+00,1.170190e+00,1.224165e+00,1.272389e+00,1.311550e+00,1.343601e+00,1.378832e+00,1.414933e+00,1.398411e+00,1.374589e+00,1.355396e+00,1.320150e+00,1.292442e+00,1.264787e+00,1.217863e+00,1.189216e+00,1.168475e+00,1.133334e+00,1.119369e+00,1.114105e+00,1.126020e+00,1.159026e+00,1.186057e+00,1.219601e+00,1.253743e+00,1.282386e+00,1.301411e+00,1.313514e+00,1.313876e+00,1.308852e+00,1.290926e+00,1.279205e+00,1.259794e+00,1.244788e+00,1.230513e+00,1.226480e+00,1.226487e+00,1.227507e+00
1.157957e+04,1.094972e+00,1.044749e+00,1.024234e+00,1.010677e+00,1.024066e+00,1.064483e+00,1.128123e+00,1.183069e+00,1.238658e+00,1.311276e+00,1.378469e+00,1.385232e+00,1.407420e+00,1.413755e+00,1.407263e+00,1.390882e+00,1.360563e+00,1.308077e+00,1.266324e+00,1.230276e+00,1.158896e+00,1.114931e+00,1.086379e+00,1.077970e+00,1.104452e+00,1.134104e+00,1.176684e+00,1.224451e+00,1.266615e+00,1.298373e+00,1.318081e+00,1.322217e+00,1.318475e+00,1.300834e+00,1.287287e+00,1.264443e+00,1.245135e+00,1.227288e+00,1.221550e+00,1.221542e+00,1.223388e+00
1.302451e+04,1.332520e+00,1.252620e+00,1.196907e+00,1.121640e+00,1.056742e+00,1.009412e+00,1.005939e+00,1.036541e+00,1.085543e+00,1.165048e+00,1.235920e+00,1.284578e+00,1.351889e+00,1.399286e+00,1.447260e+00,1.473390e+00,1.469274e+00,1.427133e+00,1.387987e+00,1.343626e+00,1.244385e+00,1.172134e+00,1.105113e+00,1.058918e+00,1.061335e+00,1.085486e+00,1.132578e+00,1.190947e+00,1.246975e+00,1.294391e+00,1.325621e+00,1.335577e+00,1.335394e+00,1.319853e+00,1.304586e+00,1.277916e+00,1.255647e+00,1.233104e+00,1.225949e+00,1.225496e+00,1.227680e+00
1.446946e+04,1.439376e+00,1.439525e+00,1.412777e+00,1.363300e+00,1.300908e+00,1.211707e+00,1.128540e+00,1.063987e+00,1.015867e+00,1.020206e+00,1.058875e+00,1.087809e+00,1.189609e+00,1.277132e+00,1.389625e+00,1.477575e+00,1.515196e+00,1.523683e+00,1.506062e+00,1.472314e+00,1.362846e+00,1.269086e+00,1.174754e+00,1.076191e+00,1.037211e+00,1.045261e+00,1.084485e+00,1.149279e+00,1.219618e+00,1.279832e+00,1.325356e+00,1.343842e+00,1.352126e+00,1.336719e+00,1.321262e+00,1.293869e+00,1.266294e+00,1.238036e+00,1.229796e+00,1.228606e+00,1.231507e+00
1.591441e+04,1.243497e+00,1.340250e+00,1.398590e+00,1.431886e+00,1.445219e+00,1.424088e+00,1.356911e+00,1.270283e+00,1.194959e+00,1.109516e+00,1.068022e+00,1.012965e+00,1.012986e+00,1.078091e+00,1.230733e+00,1.374425e+00,1.463786e+00,1.550618e+00,1.574640e+00,1.556211e+00,1.474329e+00,1.377137e+00,1.268704e+00,1.127431e+00,1.038197e+00,1.016454e+00,1.034294e+00,1.093373e+00,1.172487e+00,1.247923e+00,1.307059e+00,1.335124e+00,1.351012e+00,1.340664e+00,1.326326e+00,1.297854e+00,1.264756e+00,1.233413e+00,1.222937e+00,1.221097e+00,1.224740e+00
1.735935e+04,9.568425e-01,1.041033e+00,1.121102e+00,1.231897e+00,1.339416e+00,1.437945e+00,1.491846e+00,1.483307e+00,1.442306e+00,1.353146e+00,1.256906e+00,1.141002e+00,9.837848e-01,9.499574e-01,1.034327e+00,1.197575e+00,1.319830e+00,1.483131e+00,1.559947e+00,1.580518e+00,1.543011e+00,1.469473e+00,1.358870e+00,1.199970e+00,1.069219e+00,1.012183e+00,9.950898e-01,1.035367e+00,1.115345e+00,1.200961e+00,1.274917e+00,1.312231e+00,1.335111e+00,1.333138e+00,1.321826e+00,1.293437e+00,1.259581e+00,1.221467e+00,1.208296e+00,1.206876e+00,1.211102e+00
