frequency,V0_amp,V1_amp,V2_amp,V3_amp,V4_amp,V5_amp,V6_amp,V7_amp,V8_amp,V9_amp,V10_amp,V11_amp,V12_amp,V13_amp,V14_amp,V15_amp,V16_amp,V17_amp,V18_amp,V19_amp,V20_amp,V21_amp,V22_amp,V23_amp,V24_amp,V25_amp,V26_amp,V27_amp,V28_amp,V29_amp,V30_amp,V31_amp,V32_amp,V33_amp,V34_amp,V35_amp,V36_amp,V37_amp,V38_amp,V39_amp,V40_amp
2.000000e+01,1.242981e+00,1.242987e+00,1.242996e+00,1.242998e+00,1.242989e+00,1.242999e+00,1.243007e+00,1.243038e+00,1.243044e+00,1.243026e+00,1.243037e+00,1.243240e+00,1.243919e+00,1.245118e+00,1.247559e+00,1.258311e+00,1.271978e+00,1.259050e+00,1.262455e+00,1.305083e+00,1.489414e+00,1.954024e+00,3.563366e+00,2.948192e+00,1.748051e+00,1.407173e+00,1.331862e+00,1.262831e+00,1.251438e+00,1.245670e+00,1.243569e+00,1.243165e+00,1.243024e+00,1.242991e+00,1.242981e+00,1.242978e+00,1.242978e+00,1.242978e+00,1.242977e+00,1.242977e+00,1.242977e+00
1.464946e+03,1.246262e+00,1.248400e+00,1.250292e+00,1.250345e+00,1.247424e+00,1.249484e+00,1.251635e+00,1.254870e+00,1.255157e+00,1.251498e+00,1.248524e+00,1.248279e+00,1.248695e+00,1.248800e+00,1.248617e+00,1.248412e+00,1.248371e+00,1.248303e+00,1.247922e+00,1.247505e+00,1.247163e+00,1.246876e+00,1.246456e+00,1.246383e+00,1.245848e+00,1.245282e+00,1.245123e+00,1.244638e+00,1.244298e+00,1.243951e+00,1.243645e+00,1.243602e+00,1.243524e+00,1.243386e+00,1.243340e+00,1.243420e+00,1.243417e+00,1.243295e+00,1.243320e+00,1.243197e+00,1.242993e+00
2.909892e+03,1.235166e+00,1.239086e+00,1.246377e+00,1.247447e+00,1.241921e+00,1.247645e+00,1.252771e+00,1.261152e+00,1.261659e+00,1.255846e+00,1.252283e+00,1.253502e+00,1.255912e+00,1.257669e+00,1.258355e+00,1.259436e+00,1.259789e+00,1.259316e+00,1.258190e+00,1.256821e+00,1.256658e+00,1.256291e+00,1.254876e+00,1.254538e+00,1.252734e+00,1.250955e+00,1.250179e+00,1.248630e+00,1.247146e+00,1.245812e+00,1.244812e+00,1.244351e+00,1.243993e+00,1.244130e+00,1.244262e+00,1.244491e+00,1.244394e+00,1.243867e+00,1.243804e+00,1.243154e+00,1.242663e+00
4.354838e+03,1.199408e+00,1.206688e+00,1.215746e+00,1.218383e+00,1.212678e+00,1.223064e+00,1.232398e+00,1.245203e+00,1.247557e+00,1.241997e+00,1.239754e+00,1.244425e+00,1.251222e+00,1.256860e+00,1.261663e+00,1.266269e+00,1.267793e+00,1.267920e+00,1.267552e+00,1.266789e+00,1.265929e+00,1.266193e+00,1.265036e+00,1.264219e+00,1.260777e+00,1.257952e+00,1.256782e+00,1.253444e+00,1.250744e+00,1.248107e+00,1.245643e+00,1.244646e+00,1.245052e+00,1.244882e+00,1.244843e+00,1.245824e+00,1.245415e+00,1.244112e+00,1.243940e+00,1.243095e+00,1.241809e+00
5.799784e+03,1.184649e+00,1.184417e+00,1.191210e+00,1.190915e+00,1.179000e+00,1.187619e+00,1.196964e+00,1.208248e+00,1.215247e+00,1.211779e+00,1.208621e+00,1.218169e+00,1.230918e+00,1.241643e+00,1.252623e+00,1.262545e+00,1.267076e+00,1.269427e+00,1.270530e+00,1.272558e+00,1.273802e+00,1.275218e+00,1.274286e+00,1.273660e+00,1.268458e+00,1.265534e+00,1.263241e+00,1.258607e+00,1.254563e+00,1.249920e+00,1.246257e+00,1.245260e+00,1.246258e+00,1.247035e+00,1.246878e+00,1.248095e+00,1.247553e+00,1.245917e+00,1.244876e+00,1.243286e+00,1.241323e+00
7.244730e+03,1.228358e+00,1.217867e+00,1.212911e+00,1.203127e+00,1.181306e+00,1.174237e+00,1.177309e+00,1.187965e+00,1.189631e+00,1.174524e+00,1.171703e+00,1.181070e+00,1.199024e+00,1.215821e+00,1.232965e+00,1.250904e+00,1.258022e+00,1.262904e+00,1.266530e+00,1.272615e+00,1.276150e+00,1.279547e+00,1.282563e+00,1.281576e+00,1.277309e+00,1.272610e+00,1.270329e+00,1.264163e+00,1.257956e+00,1.251825e+00,1.246603e+00,1.245368e+00,1.247657e+00,1.246379e+00,1.247998e+00,1.251447e+00,1.251081e+00,1.248190e+00,1.246750e+00,1.244845e+00,1.241603e+00
8.689676e+03,1.299191e+00,1.289315e+00,1.277784e+00,1.263705e+00,1.231122e+00,1.202320e+00,1.199344e+00,1.205264e+00,1.192596e+00,1.173122e+00,1.148823e+00,1.151297e+00,1.165677e+00,1.183411e+00,1.206560e+00,1.232390e+00,1.243372e+00,1.250603e+00,1.258034e+00,1.269296e+00,1.278036e+00,1.284648e+00,1.289264e+00,1.289754e+00,1.283619e+00,1.279795e+00,1.277148e+00,1.268261e+00,1.260164e+00,1.251679e+00,1.244615e+00,1.243224e+00,1.246811e+00,1.249043e+00,1.250640e+00,1.255872e+00,1.254988e+00,1.251324e+00,1.249065e+00,1.246194e+00,1.241771e+00
1.013462e+04,1.336052e+00,1.346889e+00,1.345719e+00,1.322436e+00,1.298300e+00,1.273934e+00,1.259420e+00,1.247857e+00,1.228042e+00,1.189630e+00,1.145571e+00,1.130917e+00,1.136549e+00,1.153150e+00,1.178142e+00,1.207343e+00,1.221254e+00,1.231844e+00,1.243221e+00,1.258395e+00,1.274072e+00,1.287872e+00,1.295743e+00,1.296611e+00,1.291090e+00,1.287225e+00,1.283597e+00,1.271886e+00,1.260571e+00,1.248876e+00,1.239315e+00,1.237460e+00,1.243457e+00,1.247658e+00,1.250591e+00,1.257888e+00,1.257447e+00,1.253665e+00,1.250351e+00,1.244607e+00,1.239565e+00
1.157957e+04,1.301703e+00,1.342967e+00,1.363211e+00,1.360306e+00,1.342313e+00,1.338087e+00,1.334848e+00,1.319514e+00,1.296284e+00,1.244468e+00,1.170685e+00,1.132209e+00,1.121226e+00,1.126417e+00,1.149627e+00,1.179052e+00,1.193275e+00,1.204222e+00,1.217504e+00,1.241757e+00,1.263314e+00,1.286185e+00,1.299002e+00,1.303109e+00,1.298443e+00,1.296522e+00,1.292524e+00,1.277837e+00,1.260485e+00,1.245273e+00,1.230449e+00,1.226985e+00,1.235274e+00,1.239378e+00,1.247026e+00,1.258788e+00,1.258923e+00,1.253604e+00,1.249926e+00,1.243403e+00,1.236561e+00
1.302451e+04,1.198050e+00,1.263386e+00,1.300873e+00,1.321206e+00,1.329631e+00,1.364314e+00,1.385372e+00,1.400623e+00,1.367343e+00,1.313805e+00,1.226191e+00,1.165668e+00,1.136064e+00,1.125802e+00,1.132920e+00,1.155494e+00,1.165385e+00,1.172708e+00,1.182223e+00,1.210297e+00,1.245199e+00,1.277358e+00,1.301287e+00,1.309704e+00,1.309414e+00,1.311629e+00,1.306635e+00,1.288855e+00,1.266784e+00,1.244176e+00,1.221650e+00,1.217118e+00,1.225955e+00,1.232745e+00,1.241257e+00,1.259184e+00,1.260171e+00,1.254749e+00,1.251008e+00,1.243260e+00,1.233489e+00
