filename,node,frequency_hz,r_out_ohm,r_out_ohm_error,awg_frequency_hz,awg_vpp_v,t_mean_percent,std_percent
AMPPUL01.CSV,40,20000,150,1,500,5,50,1
AMPPUL02.CSV,40,24137.93,150,1,500,5,50,1
AMPPUL03.CSV,40,28275.86,150,1,500,5,50,1
AMPPUL04.CSV,40,32413.79,150,1,500,5,50,1
AMPPUL05.CSV,40,36551.72,152,1,500,5,50,1
AMPPUL06.CSV,40,40689.66,155,1,500,5,50,1
AMPPUL07.CSV,40,44827.59,155,1,500,5,50,1
AMPPUL08.CSV,40,48965.52,157,1,500,5,50,1
AMPPUL09.CSV,40,53103.45,159,1,500,5,50,1
AMPPUL10.CSV,40,57241.38,161,1,500,5,50,1
AMPPUL11.CSV,40,61379.31,164,1,500,5,50,1
AMPPUL12.CSV,40,65517.24,166,1,500,5,50,1
AMPPUL13.CSV,40,69655.17,169,1,500,5,50,1
AMPPUL14.CSV,40,73793.1,172,1,500,5,50,1
AMPPUL15.CSV,40,77931.03,176,1,500,5,50,1
AMPPUL16.CSV,40,82068.97,181,1,500,5,50,1
AMPPUL17.CSV,40,86206.9,186,1,500,5,50,1
AMPPUL18.CSV,40,90344.83,191,1,500,5,50,1
AMPPUL19.CSV,40,94482.76,197,1,500,5,50,1
AMPPUL20.CSV,40,98620.69,204,1,500,5,50,1
AMPPUL21.CSV,40,102758.62,214,1,500,5,50,1
AMPPUL22.CSV,40,106896.55,222,1,500,5,50,1
AMPPUL23.CSV,40,111034.48,235,1,500,5,50,1
AMPPUL24.CSV,40,115172.41,250,1,500,5,50,1
AMPPUL25.CSV,40,119310.34,269,1,500,5,50,1
AMPPUL26.CSV,40,123448.28,293,1,500,5,50,1
AMPPUL27.CSV,40,127586.21,328,1,500,5,50,1
AMPPUL28.CSV,40,131724.14,379,1,500,5,50,1
AMPPUL29.CSV,40,135862.07,474,1,500,5,50,1
AMPPUL30.CSV,40,140000,721,1,500,5,50,1
